Country,Seats in 1986,Seats in 1994,Seats in 1995,Seats in 2004,Seats in 2007,Seats in 2009,Seats in 2014,Latitude,Longitude
Germany,81,99,99,99,99,99,96,51.196755,9.62743
France,81,87,87,78,78,72,74,46.698481,2.549047
Italy,81,87,87,78,78,72,73,44.732552,11.077303
United Kingdom,81,87,87,78,78,72,73,52.418788,-1.247349
Spain,60,64,64,54,54,50,54,40.09095,-3.464618
Poland,n/a,n/a,n/a,54,54,50,51,51.899304,20.388926
Romania,n/a,n/a,n/a,n/a,35,33,33,45.727469,24.984652
Netherlands,25,31,31,27,27,25,26,52.554205,5.501896
Belgium,24,25,25,24,24,22,22,50.780688,4.792712
Czech Republic,n/a,n/a,n/a,24,24,22,22,49.88233,15.377705
Greece,24,25,25,24,24,22,22,39.78331,21.708535
Hungary,n/a,n/a,n/a,24,24,22,22,47.086857,19.447899
Portugal,24,25,25,24,24,22,22,39.225448,-8.266333
Sweden,n/a,n/a,22,19,19,18,20,65.859144,19.017205
Austria,n/a,n/a,21,18,18,17,19,47.522617,14.143702
Bulgaria,n/a,n/a,n/a,n/a,18,17,18,42.501868,25.176846
Finland,n/a,n/a,16,14,14,13,13,63.252357,27.276469
Denmark,16,16,16,14,14,13,13,55.966966,9.018163
Slovakia,n/a,n/a,n/a,14,14,13,13,48.752408,19.201811
Ireland,15,15,15,13,13,12,12,53.078731,-7.798618
Lithuania,n/a,n/a,n/a,13,13,12,12,55.103703,24.089932
Latvia,n/a,n/a,n/a,9,9,8,9,57.06689,25.458464
Slovenia,n/a,n/a,n/a,7,7,7,8,46.068735,14.932759
Cyprus,n/a,n/a,n/a,6,6,6,6,34.881852,33.011051
Estonia,n/a,n/a,n/a,6,6,6,6,58.722853,25.867131
Luxembourg,6,6,6,6,6,6,6,49.759178,6.086636
Malta,n/a,n/a,n/a,5,5,5,6,35.888972,14.431432
